Package,version_req,version_installed,version_new
flask,1.1.2,1.1.2,2.0.2
gunicorn,20.1.0,20.1.0,20.1.0
itsdangerous,2.0.1,2.0.1,2.0.1
jinja2,2.11.3,2.11.3,3.0.2
joblib,1.0.1,1.0.1,1.1.0
kiwisolver,1.3.2,1.3.2,1.3.2
markupsafe,2.0.1,2.0.1,2.0.1
matplotlib,3.4.3,3.4.3,3.4.3
numpy,1.19.5,1.19.5,1.21.4
pandas,1.3.4,1.3.4,1.3.4
pillow,8.4.0,8.4.0,8.4.0
pyparsing,2.4.7,2.4.7,3.0.4
python-dateutil,2.8.2,2.8.2,2.8.2
pytz,2021.3,2021.3,2021.3
scikit-learn,1.0,1.0,1.0.1
scipy,1.7.1,1.7.1,1.7.2
seaborn,0.11.2,0.11.2,0.11.2
six,1.16.0,1.16.0,1.16.0
threadpoolctl,3.0.0,3.0.0,3.0.0
werkzeug,2.0.1,2.0.1,2.0.2
